local_date,geometric_mean_daily_mean_nm,geometric_std_daily_mean_nm,geometric_mean_smallest_25pct_daily_mean_nm,geometric_mean_smallest_50pct_daily_mean_nm,geometric_mean_smallest_75pct_daily_mean_nm,geometric_std_smallest_25pct_daily_mean_nm,geometric_std_smallest_50pct_daily_mean_nm,geometric_std_smallest_75pct_daily_mean_nm
2023-02-04,65.61710423893399,2.186871528211567,50.45066658655802,57.02597925398085,61.57431482385706,2.0844583262999854,2.1249863031792313,2.152912041103398
2023-02-05,44.1523507171207,1.9406770832008786,31.92637496524387,38.027812507417465,41.147555580845584,1.8348108095091742,1.8831959439290535,1.9095622125309184
2023-02-06,60.949861102634,2.0847673647933536,42.83472220102946,51.07659024662442,56.01080089145236,1.9379861089918349,1.9793013758855322,2.034069448709488
2023-02-07,41.99199646049075,1.9719652831554413,38.18969429863824,39.45514578289456,40.38191196653578,1.8786805586682425,1.918643838738742,1.9467409123073924
2023-02-08,52.1012952460183,2.0264027710590096,42.17502790027194,45.66602087020874,48.59338426589966,1.945236110024982,1.9667013858755429,1.9897407365066033
2023-02-09,57.02400680383047,2.0385868098172875,42.53977754380968,46.85379163424174,51.251166573277224,1.7983888884385426,1.9074589038548404,1.9755370368560154
2023-02-10,37.33167244914517,1.9270627166336007,26.974152750439114,29.626756919754875,32.289497685986895,1.5675479451270953,1.6682361124290361,1.806265119064686
2023-02-11,47.81776734193166,2.0476527789400683,37.72456926769681,40.911979092492,43.447217535089564,1.9363472246461444,1.975222222507,2.003783411144661
2023-02-12,46.28866324159834,2.0820798604852624,28.702958318922256,36.661277797487045,41.83562958682025,1.9378333406315909,1.9994246608590427,2.0411712952234127
2023-02-13,61.825729224416946,1.9829027739663918,50.69455544153849,55.2779999838935,58.81685647258052,1.879055553012424,1.91090277582407,1.9423842546012666
2023-02-14,51.04657989740372,2.001184025572406,24.43093048201667,34.92022213670943,44.04597682423062,1.760777771472931,1.8594374971257315,1.936852530949676
2023-02-15,70.75992369651794,2.2638645788861647,49.3729444609748,55.2898055712382,62.998541796648944,2.0651249902115927,2.1383194385303392,2.192435179043699
2023-02-16,64.59586813714769,2.3173020829757056,41.7055139541626,45.70768737792969,52.73733799545853,2.0102499988343983,2.110770829849773,2.2115370344232628
2023-02-17,42.68844607150513,2.069714283278595,31.640083471934002,35.16703489091661,37.53618151642556,1.8071527828772862,1.9137847282820277,1.9807906999144442
2023-02-18,44.47885409990946,2.0903229196038513,39.23506938086616,41.30188194910685,42.79157405429416,2.01745834449927,2.0367862117701563,2.060087561607361
2023-02-19,42.853406223985886,2.0150347207155495,34.45986114607917,38.224618024296234,40.796569409193815,1.9370958870404387,1.9547517250324118,1.9761759257978864
2023-02-20,72.25975684324901,1.9946597230931122,55.32856957117716,62.65397228135003,67.77892125094378,1.7530555609199736,1.8543655198195885,1.9155324084891214
2023-02-21,65.11549649135672,1.980068340147142,44.85398559570312,52.33774813645178,57.495173050807075,1.5604225380319945,1.7913884850714703,1.903258369870163
2023-02-23,52.00311812427309,2.139357636372248,33.94980549812317,40.08748609489865,46.12069904362714,1.8885000050067902,1.9666250000397365,2.0480691211014848
2023-02-24,51.21244255092501,2.046087110914835,42.318000157674156,46.0009446144104,48.4762140140977,1.85305555164814,1.9265416686733563,1.9963425955286733
2023-02-25,83.64203458362155,1.9426562446686957,70.7703332901001,76.08389578925238,80.11272670604565,1.8513611091507807,1.8951586164277174,1.9204884745558286
2023-02-26,85.69792022969987,2.0627742947803602,62.462500201331245,73.49885418679979,79.59608810919302,1.8771388911538653,1.959648268798302,2.0123749916200286
2023-02-27,34.35811114311218,1.9280277726550896,20.446916633182102,24.13618055979411,30.156736144313104,1.6962133312225343,1.7589583322405815,1.8418018416874968
2023-02-28,34.90982289446725,1.8339270845883422,26.28847228156196,28.627333336406284,31.491731493561357,1.5918055590656068,1.7122986126277182,1.767703703156224
